"","category","contrast","MAG","log2FoldChange","padj","baseMean","significant"
"49","time","pre-fermentation_v_post-fermentation","MAG049",3.2914584891526,1.0020811964818e-10,845.056495527824,TRUE
"50","time","pre-fermentation_v_post-fermentation","MAG050",-2.60304252345419,0.00358218494629962,185.339412977691,TRUE
"51","time","pre-fermentation_v_post-fermentation","MAG051",0.760869149853434,0.338419735207643,146.911580374873,FALSE
"52","time","pre-fermentation_v_post-fermentation","MAG052",-2.29080248290941,0.122256387104467,40.0362295676355,FALSE
"53","time","pre-fermentation_v_post-fermentation","MAG053",-1.92423751392476,9.13175117542365e-08,208.277025421085,TRUE
"54","time","pre-fermentation_v_post-fermentation","MAG054",-2.18678354426345,0.0360216263907951,54.8710730399831,TRUE
"55","time","pre-fermentation_v_post-fermentation","MAG055",-4.5516157860082,3.22539483705561e-14,1338.43511414291,TRUE
"56","time","pre-fermentation_v_post-fermentation","MAG056",-4.6340920917018,0.0107463041571869,102.232853578629,TRUE
"57","time","pre-fermentation_v_post-fermentation","MAG057",-4.05881439110806,9.13175117542365e-08,81.3544158648579,TRUE
"58","time","pre-fermentation_v_post-fermentation","MAG058",2.26123264725655,0.000132652372599618,18164.7318125559,TRUE
"59","time","pre-fermentation_v_post-fermentation","MAG059",0.978320358332596,0.30007803038269,441.910293320226,FALSE
"60","time","pre-fermentation_v_post-fermentation","MAG060",2.50822220403584,2.97730891506873e-05,3888.46466906148,TRUE
"61","time","pre-fermentation_v_post-fermentation","MAG061",-4.55023111003046,5.69107811412929e-15,292.881868629758,TRUE
"62","time","pre-fermentation_v_post-fermentation","MAG062",-1.24562874201323,0.177785240189414,144.663643258948,FALSE
"63","time","pre-fermentation_v_post-fermentation","MAG063",2.20202673122721,9.6499604474455e-07,1895.67120622213,TRUE
"64","time","pre-fermentation_v_post-fermentation","MAG064",0.0223961369928686,0.984029460956801,150.657605665287,FALSE
"65","time","pre-fermentation_v_post-fermentation","MAG065",-2.71468588384548,0.0274203692178874,61.8878356071728,TRUE
"66","time","pre-fermentation_v_post-fermentation","MAG066",2.33957130069493,3.44226841261478e-15,1208.55583044269,TRUE
"67","time","pre-fermentation_v_post-fermentation","MAG067",2.91128744789966,0.00234795875783323,303.490760397365,TRUE
"68","time","pre-fermentation_v_post-fermentation","MAG068",8.01954023614192,4.35563130847146e-09,744.596115780555,TRUE
"69","time","pre-fermentation_v_post-fermentation","MAG069",1.33504170452174,0.00431272368836597,2898.95693830459,TRUE
"70","time","pre-fermentation_v_post-fermentation","MAG070",2.36490687866026,2.46985976155086e-06,927.900563276717,TRUE
"71","time","pre-fermentation_v_post-fermentation","MAG071",-0.731004484580888,0.247847423570459,85.1859652513343,FALSE
"72","time","pre-fermentation_v_post-fermentation","MAG072",-1.63684468781408,0.0131524684585658,42.8239494927658,FALSE
"73","time","pre-fermentation_v_post-fermentation","MAG073",-3.73804948101834,0.000595265328136626,57.2938882597578,TRUE
"74","time","pre-fermentation_v_post-fermentation","MAG074",-0.701264009943839,0.253186865857103,221.891040752028,FALSE
"75","time","pre-fermentation_v_post-fermentation","MAG075",-2.4594965029195,0.042118436357652,45.3959996587611,FALSE
"76","time","pre-fermentation_v_post-fermentation","MAG076",-0.736837894387602,0.176717817233542,92.7557505713592,FALSE
"77","time","pre-fermentation_v_post-fermentation","MAG077",-3.12629889397049,0.0573035293403847,34.2373628573926,FALSE
"78","time","pre-fermentation_v_post-fermentation","MAG078",2.11752158665259,0.0916661187499955,79.8548217061815,FALSE
"79","time","pre-fermentation_v_post-fermentation","MAG079",-2.34518254311011,1.61787841268532e-09,839.882898868538,TRUE
"80","time","pre-fermentation_v_post-fermentation","MAG080",0.819917608279303,0.142855095722144,502.684634963904,FALSE
"81","time","pre-fermentation_v_post-fermentation","MAG081",1.07966166535891,0.533351995172262,112.853156747405,FALSE
"82","time","pre-fermentation_v_post-fermentation","MAG082",-0.373639791439241,0.499231157242972,323.397553206535,FALSE
"83","time","pre-fermentation_v_post-fermentation","MAG083",2.18918099305644,0.000120888319330594,109.679201007139,TRUE
"84","time","pre-fermentation_v_post-fermentation","MAG084",-0.781692593045819,0.599494103302813,89.9476332623934,FALSE
"85","time","pre-fermentation_v_post-fermentation","MAG085",-4.5539402591747,0.00376875048524176,50.2909600243345,TRUE
"86","time","pre-fermentation_v_post-fermentation","MAG086",-3.30919198598869,1.87355345837175e-11,396.376410019835,TRUE
"87","time","pre-fermentation_v_post-fermentation","MAG087",-9.398520995892,7.38257826587412e-18,1603.84896018259,TRUE
"88","time","pre-fermentation_v_post-fermentation","MAG088",-5.81109557797452,6.1749547836284e-06,68.5357572216965,TRUE
"89","time","pre-fermentation_v_post-fermentation","MAG089",-0.109791902579065,0.921242340617657,186.582697159356,FALSE
"90","time","pre-fermentation_v_post-fermentation","MAG090",-2.31763655901115,1.17567510655543e-06,169.42134421144,TRUE
"91","time","pre-fermentation_v_post-fermentation","MAG091",-4.6523403836071,0.00232107434623858,32.7378063080479,FALSE
"92","time","pre-fermentation_v_post-fermentation","MAG092",-1.17535376868278,0.122256387104467,147.320108792128,FALSE
"93","time","pre-fermentation_v_post-fermentation","MAG093",4.04581475104768,9.08450864844788e-09,3087.98529820552,TRUE
"94","time","pre-fermentation_v_post-fermentation","MAG094",-4.12967302823594,2.46214504037985e-09,387.057157173159,TRUE
"95","time","pre-fermentation_v_post-fermentation","MAG095",1.99861411164405,6.26977726277103e-14,747.920762446276,TRUE
"96","time","pre-fermentation_v_post-fermentation","MAG096",5.07063858634433,0.00513517043528632,99.5744008199333,TRUE
"97","time","pre-fermentation_v_post-fermentation","MAG097",3.3451411625467,0.00314996183367904,774.097838825696,TRUE
"98","time","pre-fermentation_v_post-fermentation","MAG098",-1.80255839025256,0.047612620064395,258.348042680691,TRUE
"99","time","pre-fermentation_v_post-fermentation","MAG099",-2.3556798193477,0.00154740634392805,136.870320970397,TRUE
"100","time","pre-fermentation_v_post-fermentation","MAG100",-3.90816389516501,4.77721589516856e-32,444.699105932013,TRUE
"101","time","pre-fermentation_v_post-fermentation","MAG101",-2.84010699288842,0.162565061316034,63.5504700015973,FALSE
"102","time","pre-fermentation_v_post-fermentation","MAG102",-4.47142985482891,3.43105070489685e-05,89.7265705661105,TRUE
"103","time","pre-fermentation_v_post-fermentation","MAG103",-4.22789689135619,0.000422753500176152,133.506339227404,TRUE
"104","time","pre-fermentation_v_post-fermentation","MAG104",2.67286639598831,1.9344321891442e-07,33860.9601846717,TRUE
"105","time","pre-fermentation_v_post-fermentation","MAG105",-0.0814878347402653,0.939774516710985,1576.95440980005,FALSE
"106","time","pre-fermentation_v_post-fermentation","MAG106",-4.93888264490944,0.00145944770619092,64.9923400703255,TRUE
"107","time","pre-fermentation_v_post-fermentation","MAG107",-5.52231651222204,3.88317081797621e-07,126.152873799225,TRUE
"108","time","pre-fermentation_v_post-fermentation","MAG108",-0.648239681074379,0.582548200976168,88.6547663718448,FALSE
"109","time","pre-fermentation_v_post-fermentation","MAG109",-1.20353279829827,0.27048240812607,72.2127319466626,FALSE
"110","time","pre-fermentation_v_post-fermentation","MAG110",-3.92520355681069,3.11520402410058e-08,1263.52633384857,TRUE
"111","time","pre-fermentation_v_post-fermentation","MAG111",0.0432464265123073,0.93929769972342,96.0409304609439,FALSE
"112","time","pre-fermentation_v_post-fermentation","MAG112",-4.44632984079046,0.00143585413203406,45.35611952717,FALSE
"113","time","pre-fermentation_v_post-fermentation","MAG113",-2.69397512102637,0.306993258360045,27.5824238516894,FALSE
"114","time","pre-fermentation_v_post-fermentation","MAG114",-1.77338925822857,0.000887999244261613,81.2956915496279,TRUE
"115","time","pre-fermentation_v_post-fermentation","MAG115",-0.144110446770829,0.82820651446957,147.742745677176,FALSE
"116","time","pre-fermentation_v_post-fermentation","MAG116",-3.17134218871035,0.192476937547034,7.18749824421035,FALSE
"117","time","pre-fermentation_v_post-fermentation","MAG117",-5.61114316484114,9.61984598794422e-10,200.941812793554,TRUE
"118","time","pre-fermentation_v_post-fermentation","MAG118",-2.0946101781964,9.8792719065364e-08,207.50579956592,TRUE
"119","time","pre-fermentation_v_post-fermentation","MAG119",-2.64927065854964,0.122256387104467,43.7909502674278,FALSE
"120","time","pre-fermentation_v_post-fermentation","MAG120",-2.33080362436793,0.00599691617414121,107.968548515633,TRUE
"121","time","pre-fermentation_v_post-fermentation","MAG121",-0.859917933256719,0.315679210570177,79.6615864992207,FALSE
"122","time","pre-fermentation_v_post-fermentation","MAG122",-1.96763739848406,0.0151901559346673,3863.83947822295,TRUE
"123","time","pre-fermentation_v_post-fermentation","MAG123",-1.91343928702701,0.446741793788304,195.194128103101,FALSE
"124","time","pre-fermentation_v_post-fermentation","MAG124",0.111151202802262,0.820616134374552,559.503650081455,FALSE
"125","time","pre-fermentation_v_post-fermentation","MAG125",-2.16155978884266,0.378240577289959,25.0986528592627,FALSE
"126","time","pre-fermentation_v_post-fermentation","MAG126",-1.5495317916486,0.00295593648685682,209.88285309863,TRUE
"127","time","pre-fermentation_v_post-fermentation","MAG127",-1.46087465077233,0.151576715421699,160.509783417696,FALSE
"128","time","pre-fermentation_v_post-fermentation","MAG128",-4.77806475308257,1.18771014425808e-05,65.6539286177271,TRUE
"129","time","pre-fermentation_v_post-fermentation","MAG129",-2.36251266405453,0.000355884400152378,273.080503292262,TRUE
"130","time","pre-fermentation_v_post-fermentation","MAG130",2.41364460520484,7.4962032652637e-06,1769.13767460979,TRUE
"131","time","pre-fermentation_v_post-fermentation","MAG131",-0.299842048181038,0.639999909263192,241.692022627171,FALSE
"132","time","pre-fermentation_v_post-fermentation","MAG132",-2.94355744023311,0.00462678490751577,65.231784173548,TRUE
"133","time","pre-fermentation_v_post-fermentation","MAG133",-0.970502291612864,0.00682111560692519,465.660188712954,FALSE
"134","time","pre-fermentation_v_post-fermentation","MAG134",-0.00177854008238647,0.996821209722697,951.425417899484,FALSE
"135","time","pre-fermentation_v_post-fermentation","MAG135",2.22859819961424,9.96619473329086e-05,2168.47840529965,TRUE
