"","J001-0h","J001-ctrl","J001-acggm","J011-0h","J011-ctrl","J011-acggm","J014-0h","J014-ctrl","J014-acggm","J016-0h","J016-ctrl","J016-acggm","J018-0h","J018-ctrl","J018-acggm","J020-0h","J020-ctrl","J020-acggm","J021-0h","J021-ctrl","J021-acggm","J022-0h","J022-ctrl","J022-acggm"
"MAG087",0.79768795,0.00081493857,0.0007240222,1.4956546,0.0012097515,0,1.00831,0.0031389801,0.0010365236,0.0052217552,0,0,0.017800782,0,0,0.25492227,0,0.0005705755,1.3784778,0.00087091216,0.00047933648,0.1920032,0,0
"MAG088",0.015560505,0,0,0.01823246,0.00093119394,0,0.06001546,0,0,0.008262879,0,0,0.02273528,0,0,0.025045564,0.0018716065,0.0014930634,0.04217647,0,0.00068291207,0.021534644,0,0
"MAG089",0.0120439995,0.01575151,0.025793198,0.047071658,0.018216819,0.019033311,0.07504619,0.041885566,0.018329667,0.0138463145,0.003826706,0.006813285,0.024155306,0.01567248,0.012685901,0.0027309805,0,0,0.005463074,0.0015561084,0.002188878,0.05273295,0.015833339,0.016739203
"MAG090",0.030117897,0,0.0011724533,0.034556136,0.0049006063,0.006622211,0.04693671,0.0057874136,0.0053728903,0.07265055,0.0070949197,0.016233051,0.02358234,0.004171108,0.0049074753,0.06634803,0.009775294,0.014246298,0.073427804,0.005702391,0.009865653,0.018674413,0.0055846875,0.005579081
"MAG091",0.0019264482,0,0,0.0038612506,0,0,0.07642623,0.0029078568,0.0013693229,0.0056402166,0,0,0.005315038,0,0,0.0074220356,0.00084706355,0.000806885,0.0010381071,0,0,0.00087728386,0,0
"MAG092",0.03420591,0.006134423,0.0051859445,0.0017817288,0,0,0.07508278,0.030314669,0.011017398,0.038486622,0.015164028,0.012215537,0.03865341,0.013010333,0.0062450245,0.022464557,0.009769319,0.006425015,0.02451177,0.009938626,0.006995188,0.011680802,0.0040385225,0.0036655962
"MAG093",0.0056307525,0.21510185,0.14638264,0.0132516185,0.048804596,0.018106159,0.09820285,2.001693,0.987337,0.019729039,0.37231824,0.1378814,0.09731697,0.851811,0.6348419,0.009803962,0.030585216,0.008578275,0.01866992,0.1988357,0.09730556,0.06214414,0.48214746,0.45589456
"MAG094",0.044481836,0.0023629596,0.001836541,0.22633433,0.0075957146,0.005476694,0.38700557,0.017786117,0.015004558,0.033671115,0.0023312054,0.0051382002,0.15128864,0.0050795726,0.0062803365,0.043176167,0.0019333719,0.002807303,0.26357827,0.007293312,0.0051655043,0.018108899,0,0
"MAG095",0.02812964,0.03384328,0.036543094,0.028412106,0.12301049,0.068627685,0.041873846,0.14797437,0.055977542,0.028333059,0.0956467,0.08092147,0.043042414,0.08654141,0.030499164,0.031639554,0.15197814,0.109300666,0.029755382,0.1196625,0.08598448,0.04124876,0.11796132,0.043308474
"MAG096",0,0,0,0.00056866556,0.013498842,0.013385488,0.0026398683,0.052202165,0.030159926,0,0,0,0.0017104151,0.008231942,0.0032543205,0,0,0,0,0,0,0.000550574,0.044365432,0.06623428
"MAG097",0.0038673952,0.030398184,0.03139664,0.00088164385,0.009701526,0.007864931,0.011253316,0.0853309,0.058055732,0.06567567,0.46342322,0.566382,0.024727961,0.122762926,0.1089457,0,0,0,0.0035354125,0.02156657,0.027337857,0.0019795457,0.017397089,0.011834134
"MAG098",0,0,0,0.03238217,0.0051863682,0.0046257577,0.051853877,0.0068460447,0.00419491,0.12019717,0.039503273,0.0341137,0.12083875,0.02764231,0.022910995,0.009201004,0.0023721724,0.0024788773,0.09403876,0.018459901,0.016158134,0.118286766,0.015448667,0.011959443
"MAG099",0.016124371,0,0,0.040623233,0.019826075,0.010531145,0.044446044,0.013459601,0.0025594877,0.06277578,0.0071327277,0.0036630947,0.028649328,0.019326016,0.002896633,0.034542833,0.0028140915,0.0017929194,0.05744417,0.0052872496,0.0029555059,0.025622249,0.0019593304,0
"MAG100",0.07714459,0.0011873024,0.001832802,0.12685214,0.007007182,0.0063155238,0.17785579,0.011904238,0.009075026,0.15998836,0.008642806,0.014672293,0.110289216,0.004133432,0.004816799,0.24928418,0.011441512,0.0139251035,0.19956595,0.00406055,0.005323172,0.12581946,0.0064448365,0.0038372367
"MAG101",0.025511177,0.00076961296,0.0012320724,0,0,0,0.00505887,0,0,0.05113546,0.005007741,0.0047909576,0,0,0,0.048690725,0.0073324535,0.0073051443,0.006564925,0,0,0,0,0
"MAG102",0.058203768,0,0,0.026742343,0.0012159308,0,0.0017650439,0,0,0.09463197,0.003820913,0.0038339733,0.0013874355,0,0,0.014142833,0.000849459,0.0011075889,0.028461076,0.0009540551,0.00094254315,0.014295133,0.0014819026,0.0017235298
"MAG103",0.034143515,0.0028923866,0.0017981135,0.10763677,0.005831792,0.0045857606,0.063530445,0.0030048694,0.0020609458,0.033097707,0,0,0.008961683,0,0,0.013316668,0,0,0.06632673,0.0008275246,0.00072029926,0.07615899,0,0
"MAG104",1.5470918,3.9831915,6.484582,0.40206465,1.922687,1.4891309,0.46031657,2.0822947,1.0375271,1.1309011,3.0314183,2.548183,1.0985892,2.4613588,1.3235898,0.4042843,3.803107,5.6314754,1.1291124,4.9168677,4.743645,1.6204306,3.196417,2.4286463
"MAG105",0.2960871,0.004180684,0.016771067,0.15973334,0.007300181,0.08341923,0.22717936,0.028450644,0.6066371,0.34281847,0.011249471,0.72182053,0.1794421,0.008455672,0.21766403,0.017162694,0.002944363,0.010051947,0.057249352,0.0009025811,0.001927098,0.5173559,0.045600075,0.56087875
"MAG106",0.0017360622,0,0,0.036803294,0,0,0.003911602,0,0,0.004440173,0,0,0.13881083,0.0052578314,0.0028865063,0.0059462013,0,0,0.0015476596,0,0,0.051199272,0.0017222731,0.00086350046
"MAG107",0.024393821,0,0,0.1903624,0.0029832944,0.0017637169,0.036345027,0.00078548584,0,0.04035091,0.0011018692,0,0.06526143,0.0009832388,0,0.05098256,0.0026579609,0.0015380331,0.008999421,0,0,0.014462607,0,0
"MAG108",0,0,0,0.0019615125,0.0009703188,0.00076070445,0.017623058,0.014136755,0.007288578,0.0017141138,0.0009853347,0.0011670418,0.0855975,0.024510428,0.017451271,0.0019993845,0.0011953107,0.0012942817,0.0017316146,0.0008620632,0.0005106201,0.04249065,0.027303418,0.024750514
